gene	E14_ES_fpkm	E14_flk_fpkm	E14_HE1_fpkm	E14_HE2_fpkm	E14_prog_fpkm	Sp1hyp_ES_fpkm	Sp1hyp_Flk_fpkm	Sp1hyp_HE1_fpkm	Sp1hyp_HE2_fpkm	Sp1hyp_prog_fpkm
Hmga1-rs1	110.945572	147.4811032	87.10795595	127.2805816	150.259053	142.5206553	140.9911629	89.44216603	160.1854512	147.6970595
Hmga2	5.437727117	120.9526338	110.3913948	202.5398588	98.59157895	6.074500817	99.43125103	70.94759903	92.52133203	33.31291747
Hmga2-ps1	0.158518483	1.072711317	4.552448867	3.887539383	2.784477683	0.2891514	0.6454725	1.95191595	1.335949383	3.384753317
Hmgb1	61.28761598	83.88898162	50.78826923	83.80302095	81.47487897	59.86998033	98.35005578	69.44668135	104.3238253	106.1590565
Hmgb2	90.87469182	124.3956138	67.95551637	89.82588208	108.7538918	88.52084988	122.0375796	81.61520598	99.90627618	120.9888723
Hmgb3	11.06763223	57.91945047	45.44683258	50.46833935	87.6487203	14.02370323	61.22108242	49.37218518	74.70884763	112.1476368
Hmgcl	12.51590093	13.56042818	16.75348408	21.72604153	22.89336497	14.54859698	12.11077632	18.30136168	20.80004822	23.91558122
Hmgcll1	0.569862033	3.915607467	0.909015517	1.066926183	0.476654383	0.345627333	1.8367157	0.696933533	0.54667265	0.275838808
Hmgcr	51.26566658	71.03371107	62.96466703	66.0266646	52.28260662	58.52088805	82.17095888	126.6944373	115.8335406	81.35897678
Hmgcs1	73.09580405	152.7602547	86.61761882	82.74075927	46.4529902	81.70779617	174.7529864	255.0866788	186.287043	94.61384987
Hmgn1	360.498175	411.4272313	275.7781931	223.1394231	237.1611997	336.609733	437.4568822	257.685023	264.1015841	258.1674416
Hmgn2	47.73158667	109.2032512	63.7190228	101.361696	134.6479758	53.08300845	112.8117016	97.96057465	153.4909302	155.0048952
Hmgn3	2.309014517	3.3865162	8.76484205	6.227871483	3.32039515	1.4876973	3.39299785	10.99398072	4.89473385	2.06946835
Hmgn5	3.32407185	2.6875317	4.586177383	5.380457917	5.243146733	1.808464233	3.815526333	4.384439983	4.402176083	6.052549283
Hmgxb3	18.10179035	17.1009892	14.56362632	15.19732833	17.45088018	19.02522025	20.0881243	16.47638888	16.60571513	17.441929
Hmgxb4	64.81591713	34.58346413	14.6918825	18.85493297	21.49765355	49.52355243	30.70124112	17.68278608	23.05433633	23.5654532
Hmmr	73.4871991	77.33011918	29.21251998	46.12065832	61.05501862	51.61719238	46.91340232	28.54800835	41.90042932	55.09853733
Hmox1	66.20758318	16.78336077	54.26634237	24.43273083	13.83403577	69.81562337	14.16755228	47.65357168	18.44410388	6.2352074
Hmox2	24.35339063	32.90131143	49.28935203	45.36269978	34.83349367	21.36954718	33.68755703	44.43360908	38.97663577	37.78206192
Hn1	84.13991447	84.5456198	167.173126	158.2308192	163.9030089	76.77614515	90.27573837	110.9227986	116.1224241	145.9893368
Hn1l	86.85847662	70.56311628	63.73069903	74.28706987	78.03159878	79.20869023	83.11589018	69.87110705	83.62356875	82.67205623
Hnf1a	0.9901305	0.258450317	0.2587697	0.146061933	0.174951583	1.150554383	0.2687067	0.336503333	0.256775933	0.353214783
Hnrnpa0	22.30177253	38.00677038	24.93638385	24.23483085	31.59936637	25.9323813	41.38079185	25.9958241	32.89864362	30.1467946
Hnrnpa1	144.4747725	245.926084	77.27842523	19.74689487	125.9339363	182.3568945	27.4300663	215.0641957	22.70617328	121.331416
Hnrnpa2b1	152.2909752	168.6154607	142.9171774	148.1262464	175.085184	142.3326421	203.4557851	175.1352387	197.7489095	194.9260175
Hnrnpa3	24.25565987	17.17998417	13.26375808	19.8071523	19.18911308	16.96374913	15.77730132	11.92803587	18.55413167	20.29183602
Hnrnpab	380.8670924	251.8749243	245.0940989	280.4663048	278.2067899	236.9213468	236.2798376	201.0600286	240.5866394	201.8245562
Hnrnpc	190.9669627	181.850825	95.22201708	119.0800832	132.0526337	183.932058	164.2886152	95.43056308	132.8826035	137.294506
Hnrnpd	18.09730838	23.9303133	12.46349437	13.72666052	21.34177992	21.79177197	24.07959223	16.02219672	18.53177778	20.06359848
