gene,Sp1hyp_ES_fpkm,Sp1hyp_Flk_fpkm,Sp1hyp_HE1_fpkm,Sp1hyp_HE2_fpkm,Sp1hyp_prog_fpkm
Rbm15,33.20905042,29.64797653,22.97424497,27.52262037,32.6930609
Rbm15b,20.97474837,23.9267112,23.88668443,24.74925285,23.26501272
Rbm17,81.19202358,98.4316308,85.09778988,90.56436482,99.76877813
Rbm18,12.15996345,18.35607828,22.8472862,17.67624275,14.58932637
Rbm19,34.40522325,23.077886,18.97599712,26.07471807,29.17485917
Rbm20,0.29819465,6.2561835,0.8075353,0.455872417,0.247889
Rbm22,25.4564894,39.90294452,42.9138524,43.55031508,38.22155152
Rbm24,0.008487333,6.565685083,1.02278405,3.9422946,2.282168633
Rbm25,73.01844443,73.76324388,52.34143755,62.45894038,60.2217245
Rbm26,49.13802677,40.90945328,27.54647665,34.54467125,36.03444837
Rbm27,31.54831463,19.99767257,15.50487632,18.4146062,21.72550763
Rbm28,33.1176076,26.5759631,23.38296582,25.27640862,27.86141975
Rbm3,121.2800851,121.5981482,219.7131806,248.5492106,246.1580653
Rbm33,16.53606537,15.56660915,11.7265243,11.56203808,12.36215207
Rbm34,22.00119907,16.40764118,11.16549793,14.53053923,18.19803115
Rbm38,13.1325673,9.967808167,18.03022152,26.86838707,40.95417952
Rbm39,126.6447569,175.3547853,155.3702115,184.6851388,175.0098997
Rbm3os,1.702040117,1.608000817,2.11722995,1.894179683,2.91174715
Rbm4,31.9369381,19.9884746,17.6677672,18.94646908,22.69208155
Rbm41,9.6429908,7.10268715,8.37875035,7.400982,7.767680283
Rbm42,23.41553887,27.36990575,31.49797567,31.59215617,30.75320025
Rbm43,4.01265195,2.9749584,13.01554133,16.56426325,21.29783462
Rbm44,1.872391067,0.019737833,0.087402183,0.083815892,0.191225433
Rbm45,25.9359185,19.96970252,20.91097135,21.86903125,20.87290422
Rbm46,0.594265233,1.434854867,1.283183133,0.70348145,1.288390217
Rbm47,15.29143592,0.29830085,0.0308661,0.00155065,0.195409183
Rbm48,7.438823967,6.345388467,5.902145633,7.820652717,9.084985567
Rbm4b,17.85287553,13.92643547,11.93810922,14.66140507,14.63608075
Rbm5,38.31707515,49.15510488,52.16263472,53.2834634,51.81147145
Rbm6,33.54502775,50.4761064,38.72244427,44.70012208,45.45256253
Rbm7,27.65695623,21.83705772,30.92322003,31.99092538,38.40850602
Rbm8a,45.41851775,41.9346146,25.84283913,33.64057623,37.42876218
Rbms1,9.330104,66.70045457,62.75228505,36.38780347,26.55179832
Rbms2,14.62907715,15.30412352,29.90267848,14.68906992,7.213197817
Rbms3,0.0787063,1.339432083,2.256941683,0.98965005,0.395926158
Rbmx,11.624658,19.48561407,13.2460666,22.70665072,30.1293204
Rbmx2,12.88658663,10.28595252,7.438285067,8.294060383,10.59731515
Rbmxl1,91.48347823,82.81387805,78.5079296,94.5583147,102.0643356
Rbmxl2,14.29322038,0.465660467,0.295829567,0.291781783,0.348128017
Rbp1,2.839056883,2.14481265,0.223152567,0.5654429,1.851626433
Rbp2,0,0.014338417,0.001723592,1.526348483,2.3887094
Rbp4,0.130777833,1.543769733,0.001723592,0.0570173,0.007057617
Rbp7,2.402141733,0.782050583,0.165200992,0.00155065,0.007057617
Rbpj,59.70197687,17.7608912,14.65702013,14.5893853,14.83976635
Rbpms,70.02031875,83.76612757,75.44209685,44.06840027,19.07238298
Rbpms2,65.73727702,32.20771173,22.61817878,9.905444667,14.61352683
Rbsn,10.59873327,12.92762923,11.6082033,12.66166688,12.64685397
Rbx1,41.39200667,56.12927222,53.31725993,59.4162962,66.69191263
Rc3h1,10.23157315,16.52979463,19.89382888,16.92294072,16.55417877
