gene,E14_ES_fpkm,E14_flk_fpkm,E14_HE1_fpkm,E14_HE2_fpkm,E14_prog_fpkm
Dhx57,9.728618517,9.945746133,34.51113887,16.8301615,7.281970533
Dhx58,0.47628445,0.560262283,0.229435933,0.79394845,0.8597753
Dhx8,51.07086668,27.42641813,31.04518428,32.6023833,35.31591643
Dhx9,98.5541889,74.94476653,64.75264802,80.30824052,87.91918375
Diablo,22.92148298,23.8337315,9.570327883,14.27354682,15.4454858
Diaph1,43.17906968,10.08420703,12.5538793,27.65573867,58.37611325
Diaph2,5.069703083,4.959220417,5.043892017,2.701508467,1.501447867
Diaph3,21.4158421,29.70922302,19.17078085,24.0890358,26.99406672
Dicer1,27.82593287,30.83508473,24.66081058,26.54289268,27.13945385
Dido1,53.12464415,22.03764757,30.23334133,35.33255132,37.02692675
Diexf,10.1242732,7.624244867,4.046711433,5.27048605,7.314849283
Dimt1,18.10186293,16.70164287,7.371688433,9.931620383,12.04755697
Dip2a,2.187842167,5.696618183,12.79597173,6.381318267,5.473337533
Dip2b,14.23307987,13.55666445,22.20636133,18.74272507,13.39070287
Dip2c,6.3109347,7.679087917,5.8041767,5.26948255,4.500088833
Diras2,0.050997267,0,0.037169267,0.063098017,0.897138733
Dirc2,5.310980117,5.879317983,8.2161556,5.105464283,4.80011135
Dis3,58.18835785,35.6115234,18.22288102,25.9803343,28.96457583
Dis3l,8.726059417,6.270922383,4.989616733,6.483307833,8.8877343
Dis3l2,8.04078795,13.57829855,12.59280242,14.00519648,14.94982822
Disc1,0.264187317,0.085750783,4.2669036,4.366890167,1.306770167
Disp1,1.871243733,3.780083483,5.10014005,4.539560017,4.3424735
Disp2,0.007070883,0.009448617,0.823618133,0.071908117,0.039071883
Dixdc1,1.381578267,2.861703467,1.194873,0.583859467,0.5336842
Dkc1,102.0806599,62.72652332,27.86355977,55.68729825,65.9279633
Dkk1,0.065896483,7.598936917,1.304911483,0.355351817,0.190924083
Dkk2,0.006924633,0,0.6995147,0.132803617,0.057156892
Dkk3,0.709947183,0.933030483,4.290563733,1.255125617,1.1704267
Dkkl1,0.696611967,0,0.000444875,0.045914433,0.047802258
Dlat,20.884264,23.20990457,13.1608354,16.81022797,18.58141238
Dlc1,37.37889052,40.56566658,56.21047582,23.43782832,5.2515121
Dld,34.77179067,44.1818773,43.96582638,48.97943748,48.00615963
Dleu2,1.316401817,1.677823517,0.708604683,0.687631217,0.873549933
Dleu7,0.431884117,0,0.066679433,0.0003658,0.000715
Dlg1,29.34496112,37.06262513,44.04075117,35.0064376,46.9496631
Dlg3,9.1544167,10.89381302,4.586988033,2.645448,3.51072455
Dlg4,2.268389383,10.38851982,7.69438305,7.707678833,6.771329933
Dlg5,9.7397665,58.47644372,21.62060582,7.115759383,5.224322817
Dlgap3,4.3385174,0.462522717,0.348579167,0.033994,0.05978955
Dlgap4,10.76126377,17.06936358,29.8532954,16.67252213,16.35588475
Dlgap5,58.90977082,36.28678772,26.62603167,36.90603915,42.84827085
Dlk1,0.1001482,2.644280433,5.592863917,1.140528983,1.423536567
Dll1,1.59307875,0.941286083,0.490874467,0.202076417,0.069700567
Dll3,1.83459385,4.3441989,0.104929583,0.014900867,0.163506533
Dll4,0.0010217,0.011693383,4.084553633,0.7529012,0.09258705
Dlst,31.81096757,42.57385875,47.79054933,48.3476217,48.72210663
Dlx2,0.00150585,0.797727683,0.579022267,0.098706467,0.142762508
Dlx3,0.246495783,1.44462835,0.110361917,0.026719417,0.033739525
Dmap1,20.34141008,21.2369694,17.34810143,19.23104438,22.35340488
Dmc1,3.735587983,2.327693233,0.000444875,0.0003658,0.06850615
Dmd,17.13888655,1.984541267,1.716461833,1.18193435,0.61602935
Dmgdh,0.019949017,1.298400833,0.016000775,0.0003658,0.000715
Dmkn,0.044357142,0.68870715,0.000444875,0.02049775,0.000715
Dmpk,1.085641933,2.739280517,3.442501517,1.4905884,0.792406033
Dmrt1,7.33475065,0.049695783,0.052847383,0.0003658,0.023182675
Dmrt3,0.021063367,0.308305583,1.7476431,0.182856233,0.095191617
